internal_campaign_id,publisher,period_label,period_start,period_end,placement_group,placement,unit,metric,quantity,clicks,booked_quantity,note
global_rebrand,westwick_farrow,August 2026,2026-08-01,2026-08-31,Website display,Side Bars Right (Sustainability Matters),impressions,,,6,,Impressions reported once across the left and right side bars
global_rebrand,westwick_farrow,August 2026,2026-08-01,2026-08-31,Website display,Welcome Roadblock (ECD Online),impressions,,6613,80,,
global_rebrand,westwick_farrow,August 2026,2026-08-01,2026-08-31,Website display,Premier Tab (Sustainability Matters),impressions,,7951,3,,
global_rebrand,westwick_farrow,August 2026,2026-08-01,2026-08-31,Website display,Premier Tab (ECD Online),impressions,,6591,2,,
global_rebrand,westwick_farrow,August 2026,2026-08-01,2026-08-31,Website display,Leaderboard Banner (ECD Online),impressions,,3837,4,,
global_rebrand,westwick_farrow,August 2026,2026-08-01,2026-08-31,Website display,M Leaderboard Banner (ECD Online),impressions,,2706,3,,
global_rebrand,westwick_farrow,August 2026,2026-08-01,2026-08-31,Website display,MREC Position 1 (Sustainability Matters),impressions,,8054,8,,
global_rebrand,westwick_farrow,August 2026,2026-08-01,2026-08-31,Featured Content Plus,Power under pressure: can your infrastructure keep up? (ECD Online),article_views,,1241,,1000,
global_rebrand,westwick_farrow,August 2026,2026-08-01,2026-08-31,Featured Content Plus,The water sector's biggest problem may not be underground (Sustainability Matters),article_views,,1211,,1000,
global_rebrand,westwick_farrow,August 2026,2026-08-01,2026-08-31,Featured Content Plus,How energy technology can advance net zero journeys (Sustainability Matters),article_views,,1160,,1000,
global_rebrand,westwick_farrow,August 2026,2026-08-01,2026-08-31,Featured Content Plus,From AC to DC: the next phase of electrification (Sustainability Matters),article_views,,1169,,1000,
global_rebrand,westwick_farrow,August 2026,2026-08-01,2026-08-31,Featured Content Plus,Climate reporting is exposing a problem bigger than emissions (Sustainability Matters),article_views,,1165,,1000,
global_rebrand,westwick_farrow,August 2026,2026-08-01,2026-08-31,Featured Content Plus,When sustainability targets outpace building systems (Sustainability Matters),article_views,,1171,,1000,
global_rebrand,westwick_farrow,August 2026,2026-08-01,2026-08-31,Featured Content Plus,The energy advantage: the next growth opportunity for ANZ (Sustainability Matters),article_views,,1207,,1000,
global_rebrand,westwick_farrow,August 2026,2026-08-01,2026-08-31,Featured Content Plus,7 further hosted articles booked - not yet published,article_views,,,,7000,The plan books 14 hosted articles across the flight; 7 are published so far. Quantity is BLANK (not yet reported) - never 0 - so booked totals 14000 while delivered stays at what the publisher has reported
